Ranking,Region,Public School Index Score
1,Massachusetts,73.14
2,Connecticut,67.5
3,New Jersey,64.36
4,Virginia,61.71
5,New Hampshire,61.57
6,Maryland,60.24
7,Delaware,58.07
8,Nebraska,57.81
9,Wisconsin,57.48
10,Vermont,57.43
11,Rhode Island,57.21
12,Minnesota,57
13,Maine,56.87
14,New York,56.42
15,Illinois,56.27
16,Utah,55.87
17,North Dakota,55.3
18,Florida,55.22
19,Kentucky,54.18
20,Iowa,53.71
21,Colorado,53.7
22,Indiana,53.31
23,Wyoming,53.07
24,Pennsylvania,52.86
25,South Dakota,52.43
26,Washington,51.31
27,Montana,50.33
28,Texas,49.86
29,Kansas,47.47
30,Ohio,47.43
31,Tennessee,46.93
32,Georgia,46.22
33,North Carolina,46.06
34,Michigan,45.92
35,Missouri,45.88
36,Idaho,45.2
37,Arkansas,43.84
38,Nevada,43.64
39,Hawaii,43.09
40,California,42.42
41,Oregon,40.96
42,South Carolina,38.94
43,West Virginia,38.47
44,Mississippi,38.22
45,Oklahoma,37.15
46,Alabama,37.02
47,Alaska,36.43
48,Arizona,35.13
49,Louisiana,33.37
50,New Mexico,25.26